[02/Sep/2024 14:24:48] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/brandonlanders/Documents/GitHub/WBK/templates with glob **/*.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/brandonlanders/Documents/GitHub/WBK/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/whitenoise/runserver_nostatic/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/brandonlanders/Documents/GitHub/WBK/pages/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/brandonlanders/Documents/GitHub/WBK/accounts/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:296] Watching dir /Users/brandonlanders/Documents/GitHub/WBK/reviews/locale with glob **/*.mo.
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/checks/security/sessions.py first seen with mtime 1687916526.2228482
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/corsheaders/defaults.py first seen with mtime 1722621648.2952414
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/views/decorators/debug.py first seen with mtime 1687916526.377149
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/mime/multipart.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/email/mime/__init__.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/templatetags/static.py first seen with mtime 1687916526.3492804
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1687916526.2714937
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/migrations/exceptions.py first seen with mtime 1687916526.2739575
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/templatetags/i18n.py first seen with mtime 1687916526.3486092
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/zlib.cpython-311-darwin.so first seen with mtime 1666637706.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1687916526.29793
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Users/brandonlanders/Documents/GitHub/WBK/reviews/views.py first seen with mtime 1723691776.4583404
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/template/base.py first seen with mtime 1687916526.3390272
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/token.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/engine/grouping.py first seen with mtime 1669252248.1355283
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dis.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/__init__.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/core/paginator.py first seen with mtime 1687916526.2120278
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/base/operations.py first seen with mtime 1687916526.2562685
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Users/brandonlanders/Documents/GitHub/WBK/pages/models.py first seen with mtime 1725136043.1218102
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/backends/base/client.py first seen with mtime 1687916526.2547252
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Users/brandonlanders/Documents/GitHub/WBK/mysite/urls.py first seen with mtime 1723328493.6499815
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/urls/exceptions.py first seen with mtime 1687916526.3547394
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admin/__init__.py first seen with mtime 1687916525.0869987
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/asgiref/sync.py first seen with mtime 1687916523.8206806
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/getpass.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/db/models/functions/datetime.py first seen with mtime 1687916526.293797
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/sqlparse/exceptions.py first seen with mtime 1669252248.1322
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/locale.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1687916525.3194199
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/contrib/admin/decorators.py first seen with mtime 1687916525.0883546
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/collections/abc.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/asyncio/transports.py first seen with mtime 1666637452.0
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/utils/deprecation.py first seen with mtime 1687916526.3615353
[02/Sep/2024 14:24:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/django/http/multipartparser.py first seen with mtime 1687916526.3342233
